time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-05-31 14:41:36.160 UTC, ,125,3172269,1184,26416, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,1,7, ,9,7, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464705695678,3145728, , , ,9, , , ,1, , , ,3, , , , ,9,1, , , , , ,1,29010,11, , , , , , , , , , ,59912784,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:43:25.101 UTC, ,125,3156837,696,10984, , ,3, ,12,3,0.25, , , , , , , ,3,3, ,2, ,2,1,5, ,9,3, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464705804858,3145728, , , ,11, , , ,2, , , ,3, , , , ,11, ,2048,1, , , , ,114688,23, , , , , , ,1,31,2,14,19206288,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:44:08.959 UTC, ,125,3172269,1184,26416, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,1,7, ,9,7, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464705804858,3145728, , , ,9, , , ,1, , , ,3, , , , ,9,1, , , , , ,1,29010,11, , , , , , , , , , ,56526280,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:46:15.800 UTC, ,125,3156837,696,10984, , ,3, ,12,3,0.25, , , , , , , ,3,3, ,2, ,2,1,5, ,9,3, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464705975035,3145728, , , ,11, , , ,2, , , ,3, , , , ,11, ,2048,1, , , , ,114688,23, , , , , , ,1,24,2,14,20113624,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:47:15.805 UTC, ,125,3172605,1184,26416,336, ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,1,7, ,9,7, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464705975035,3145728, , , ,9, , , ,1, , , ,3, , , , ,9,1, , , , , ,1,29010,11, , , , , , , , , , ,34540464,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:48:15.809 UTC, ,125,3172605,1184,26416,336, ,4, , , , , , , , , , , ,4,4, , , ,2,1,7, , , , , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464705975035,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,61550768,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:49:01.883 UTC, ,125,3172269,1184,26416, , ,4, , , , , , , , , , , ,4,4, , , ,2,1,7, , , , , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464705975035,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,63086448,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:50:30.418 UTC, ,125,3156837,696,10984, , ,3, ,12,3,0.25, , , , , , , ,3,3, ,2, ,2,1,5, ,9,3, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464706230202,3145728, , , ,11, , , ,2, , , ,3, , , , ,11, ,2048,1, , , , ,114688,23, , , , , , , , ,1,8,26978656,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:51:30.418 UTC, ,125,3172605,1184,26416,336, ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,1,7, ,9,7, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464706230202,3145728, , , ,9, , , ,1, , , ,3, , , , ,9,1, , , , , ,1,29010,11, , , , , , ,1,19,1,7,48820616,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-05-31 14:52:42.372 UTC, ,125,3156837,696,10984, , ,3, ,12,3,0.25, , , , , , , ,3,3, ,2, ,2,1,5, ,9,3, , , , , , , , , , , , , ,19023,3, ,18663, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464706362174,3145728, , , ,11, , , ,2, , , ,3, , , , ,11, ,2048,1, , , , ,114688,23, , , , , , ,1,24,2,13,19686152,2, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
